City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
174,Cockburn Town,TC,84.2,21.46,-71.14,Osprey Beach Hotel
175,Bambous Virieux,MU,75.99,-20.34,57.76,Casa Tia Villa
180,Umm Lajj,SA,94.59,25.02,37.27,Moon light Furnished Units
182,Port Alfred,ZA,82.0,-33.59,26.89,The Halyards Hotel
183,Namatanai,PG,81.75,-3.67,152.43,Namatanai Hotel
191,Saint George,US,75.2,37.1,-113.58,Best Western Plus Abbey Inn
193,Aykhal,RU,78.8,66.0,111.5,
205,Honiara,SB,77.0,-9.43,159.95,Heritage Park Hotel
206,Bengkulu,ID,79.5,-3.8,102.27,Grage Hotel Bengkulu
208,Namibe,AO,78.8,-15.2,12.15,Hotel Chik Chik Namibe
211,Tapioszecso,HU,77.0,47.45,19.61,Hotel Vesta
212,Senanga,ZM,80.6,-16.12,23.27,Christopher Nasilele House
217,Hithadhoo,MV,84.97,-0.6,73.08,Scoop Guest House
218,San Antonio,US,80.01,29.42,-98.49,Marriott Plaza San Antonio
222,Cabo San Lucas,MX,78.8,22.89,-109.91,Hotel Tesoro Los Cabos
223,Saint-Paul,RE,75.2,-21.01,55.27,Boucan Canot
226,Souillac,MU,75.2,-20.52,57.52,Bils' Villa
233,Omurtag,BG,77.0,43.1,26.42,
235,Ca Mau,VN,81.46,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
238,Mahibadhoo,MV,84.16,3.78,72.97,Omadhoo Inn
240,Saint-Georges,GD,82.4,12.06,-61.75,Radisson Grenada Beach Resort
243,Garissa,KE,91.49,-0.45,39.64,Almond Resort
249,Grand Gaube,MU,75.99,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
253,Sur,OM,87.37,22.57,59.53,Sur Plaza Hotel
254,Houston,US,78.01,29.76,-95.36,"Hotel ICON, Autograph Collection"
255,Kahului,US,75.2,20.89,-156.47,Maui Seaside Hotel
256,Vanimo,PG,80.53,-2.67,141.3,Vahmoneh Lodge Vanimo
257,Dickinson,US,77.0,29.46,-95.05,Candlewood Suites League City
259,Lubumbashi,CD,82.49,-11.66,27.48,Glo Flats
260,Lazaro Cardenas,MX,79.32,17.96,-102.2,Hotel Quinta Antigua
261,Petatlan,MX,77.0,17.52,-101.27,Hotel California Petatlán
262,Saint-Pierre,RE,75.2,-21.34,55.48,Lindsey Hôtel
265,Ust-Kuyga,RU,78.46,70.02,135.6,
267,Bauchi,NG,96.21,10.5,10.0,
268,Bandarbeyla,SO,95.11,9.49,50.81,REER XOOSHLE GROUP
271,Bodden Town,KY,84.2,19.28,-81.25,Will T Place
275,Lipovat,RO,79.0,46.57,27.7,
281,Balaipungut,ID,77.41,1.05,101.28,Swee Ann Homestay
283,Coachella,US,78.01,33.68,-116.17,Loops
284,San Cristobal,VE,80.6,7.77,-72.22,Pirineos
288,Kannangad,IN,86.0,12.31,75.11,Hotel Landmark
291,Georgetown,MY,87.8,5.41,100.34,Cititel Penang
296,Yerkoy,TR,87.93,39.64,34.47,Yerköy Öğretmenevi
298,Ende,ID,75.33,-8.84,121.66,Dwi Putra Hotel - Ende
300,Silifke,TR,80.8,36.38,33.93,Altınorfoz
303,Gondanglegi,ID,76.78,-7.75,112.01,Gg. Munasir Homestay
305,Vaitape,PF,78.46,-16.52,-151.75,Hotel Maitai Polynesia
307,Benguela,AO,78.8,-12.58,13.41,Hotel Praia Morena
