City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Rainfall in past hour (inches),Snowfall in past hour (inches)
462,Salinas,US,36.68,-121.66,59.0,82,90,6.93,overcast clouds,0.0,0.0
463,Salinopolis,BR,-0.61,-47.36,79.66,77,22,7.76,few clouds,0.0,0.0
464,San Francisco Del Mar,MX,16.23,-94.65,78.84,87,99,15.59,moderate rain,1.86,0.0
465,Palagiano,IT,40.58,17.04,87.8,46,40,21.92,scattered clouds,0.0,0.0
466,Riyadh,SA,24.69,46.72,105.8,7,41,21.92,dust,0.0,0.0
467,Khani,GE,41.96,42.96,98.6,25,9,11.41,clear sky,0.0,0.0
468,Cidreira,BR,-30.18,-50.21,66.27,77,3,7.31,clear sky,0.0,0.0
469,Havoysund,NO,71.0,24.66,59.0,75,37,10.29,scattered clouds,0.0,0.0
470,Camopi,GF,3.17,-52.32,78.06,91,91,1.81,light rain,0.64,0.0
471,Katherine,AU,-14.47,132.27,66.2,45,0,5.82,clear sky,0.0,0.0
472,Kirando,TZ,-7.42,30.6,80.89,45,25,7.94,scattered clouds,0.0,0.0
473,Marrakesh,MA,31.63,-8.01,78.8,54,0,6.93,clear sky,0.0,0.0
474,Tomatlan,MX,19.93,-105.25,75.87,85,0,1.88,clear sky,0.0,0.0
475,Tabora,TZ,-5.02,32.8,84.2,39,20,13.87,few clouds,0.0,0.0
476,Konde,TZ,-4.95,39.75,80.31,71,89,15.73,overcast clouds,0.0,0.0
477,Pozo Colorado,PY,-23.49,-58.8,75.96,54,0,11.52,clear sky,0.0,0.0
478,Chimoio,MZ,-19.12,33.48,68.0,56,75,10.29,broken clouds,0.0,0.0
479,Olafsvik,IS,64.89,-23.71,50.25,74,26,12.03,scattered clouds,0.0,0.0
480,Vuktyl,RU,63.86,57.31,51.87,73,90,14.16,light rain,0.36,0.0
481,Rincon,US,32.3,-81.24,78.8,74,40,6.93,scattered clouds,0.0,0.0
482,Berlevag,NO,70.86,29.09,48.2,61,40,8.05,scattered clouds,0.0,0.0
483,La Tuque,CA,47.43,-72.78,69.84,88,85,3.13,overcast clouds,0.0,0.0
484,Mount Isa,AU,-20.73,139.5,55.4,32,0,8.05,clear sky,0.0,0.0
485,Oni,GE,42.58,43.44,81.73,37,9,5.7,light rain,0.11,0.0
486,Kieta,PG,-6.22,155.63,81.54,79,56,5.17,light rain,0.13,0.0
487,Kadhan,PK,24.48,68.99,103.8,30,7,13.09,clear sky,0.0,0.0
488,Brae,GB,60.4,-1.35,60.8,63,99,12.75,overcast clouds,0.0,0.0
489,Fare,PF,-16.7,-151.02,78.66,75,23,19.17,few clouds,0.0,0.0
490,Nacala,MZ,-14.54,40.67,84.2,58,75,14.99,broken clouds,0.0,0.0
491,Helong,CN,42.54,129.0,64.51,88,100,2.93,moderate rain,1.01,0.0
492,Salamanca,ES,40.83,-6.0,91.99,21,0,5.82,clear sky,0.0,0.0
493,Beloha,MG,-25.17,45.05,72.03,58,68,13.31,broken clouds,0.0,0.0
494,Maunabo,PR,18.01,-65.9,84.0,78,32,5.01,scattered clouds,0.0,0.0
495,Altea,ES,38.6,-0.05,82.99,58,0,5.01,clear sky,0.0,0.0
496,Buala,SB,-8.14,159.59,80.76,76,40,4.99,scattered clouds,0.0,0.0
497,Vila Velha,BR,-20.33,-40.29,73.0,77,92,3.36,overcast clouds,0.0,0.0
498,Tukrah,LY,32.53,20.58,77.72,53,2,11.39,clear sky,0.0,0.0
499,Petukhovo,RU,55.07,67.9,63.95,51,52,9.42,broken clouds,0.0,0.0
500,Kawalu,ID,-7.38,108.21,71.78,91,96,2.19,overcast clouds,0.0,0.0
501,Poum,NC,-20.23,164.02,74.14,75,85,10.27,overcast clouds,0.0,0.0
502,Moree,AU,-29.47,149.85,44.6,81,45,4.7,scattered clouds,0.0,0.0
503,Barra Do Garcas,BR,-15.89,-52.26,69.93,50,0,2.77,clear sky,0.0,0.0
504,Sabha,LY,27.04,14.43,95.94,11,0,2.62,clear sky,0.0,0.0
505,Sefophe,BW,-22.18,27.97,71.6,40,0,11.41,clear sky,0.0,0.0
506,Kaminskiy,RU,57.15,41.47,70.68,54,4,7.36,clear sky,0.0,0.0
507,Waipawa,NZ,-41.41,175.52,48.2,93,4,4.7,clear sky,0.0,0.0
508,Ust-Kulom,RU,61.69,53.69,57.63,73,44,9.24,light rain,0.7,0.0
509,Benjamin Constant,BR,-4.38,-70.03,75.2,100,90,3.36,fog,0.0,0.0
510,King City,US,36.21,-121.13,62.01,56,0,1.54,clear sky,0.0,0.0
511,Encheng,CN,22.18,112.3,80.85,89,99,5.7,overcast clouds,0.0,0.0
512,Concarneau,FR,47.88,-3.92,77.0,50,67,10.29,broken clouds,0.0,0.0
513,Kalmunai,LK,7.42,81.82,85.57,67,94,8.1,overcast clouds,0.0,0.0
514,Qixingtai,CN,30.41,111.89,77.0,82,100,1.59,overcast clouds,0.0,0.0
515,Padang,ID,-0.95,100.35,78.8,70,96,2.28,overcast clouds,0.0,0.0
516,Changqing,CN,36.56,116.73,75.99,77,86,7.09,overcast clouds,0.0,0.0
517,Abu Dhabi,AE,24.47,54.37,96.8,53,42,10.29,scattered clouds,0.0,0.0
518,Cruzeiro Do Sul,BR,-29.51,-51.99,75.0,65,0,3.0,clear sky,0.0,0.0
519,Innisfail,AU,-17.53,146.03,64.22,77,0,3.78,clear sky,0.0,0.0
520,Kumluca,TR,36.37,30.29,76.48,63,31,11.48,scattered clouds,0.0,0.0
521,Xihe,CN,31.69,113.47,76.95,71,66,3.94,broken clouds,0.0,0.0
522,Barra,BR,-11.09,-43.14,78.3,57,3,7.7,clear sky,0.0,0.0
523,Lavrentiya,RU,65.58,-171.0,37.0,79,54,9.82,broken clouds,0.0,0.0
524,Matamoros,MX,25.53,-103.25,76.26,40,0,1.79,clear sky,0.0,0.0
525,Bundaberg,AU,-24.85,152.35,55.99,58,0,4.7,clear sky,0.0,0.0
526,Mahanoro,MG,-19.9,48.8,74.3,86,43,8.08,light rain,0.26,0.0
527,Hambantota,LK,6.12,81.12,91.4,59,90,5.82,overcast clouds,0.0,0.0
528,Turochak,RU,52.26,87.12,75.36,57,0,3.51,clear sky,0.0,0.0
529,Nogliki,RU,51.83,143.17,40.8,97,98,6.87,overcast clouds,0.0,0.0
530,Oktyabrskiy,RU,54.48,53.47,65.57,57,4,7.92,clear sky,0.0,0.0
531,Bandar-E Lengeh,IR,26.56,54.88,95.0,59,0,9.17,haze,0.0,0.0
532,Assiniboia,CA,49.63,-105.98,58.05,70,60,5.77,broken clouds,0.0,0.0
533,Xining,CN,36.62,101.77,63.63,47,27,7.78,scattered clouds,0.0,0.0
534,Porto Walter,BR,-8.27,-72.74,71.28,91,27,0.87,scattered clouds,0.0,0.0
535,Saldanha,ZA,-33.01,17.94,60.8,77,0,2.24,clear sky,0.0,0.0
536,Acarau,BR,-2.89,-40.12,79.9,76,61,13.6,broken clouds,0.0,0.0
537,Wangkui,CN,46.83,126.5,63.46,95,99,7.23,overcast clouds,0.0,0.0
538,Tapiramuta,BR,-11.85,-40.79,63.95,97,99,10.11,overcast clouds,0.0,0.0
539,Ankazoabo,MG,-22.28,44.52,85.14,32,0,3.02,clear sky,0.0,0.0
540,Slave Lake,CA,55.28,-114.77,59.0,82,90,2.24,haze,0.0,0.0
541,Peranamallur,IN,12.57,79.43,91.67,42,100,10.65,overcast clouds,0.0,0.0
542,Grindavik,IS,63.84,-22.43,53.6,66,75,19.46,broken clouds,0.0,0.0
543,Celestun,MX,20.87,-90.4,79.43,87,96,14.36,overcast clouds,0.0,0.0
544,Toamasina,MG,-18.17,49.38,68.0,100,40,9.17,scattered clouds,0.0,0.0
545,Gold Coast,AU,-28.0,153.43,57.0,70,0,3.36,clear sky,0.0,0.0
546,Gazojak,TM,41.19,61.4,102.87,8,0,17.02,clear sky,0.0,0.0
547,Mount Gambier,AU,-37.83,140.77,53.6,93,90,5.82,light intensity drizzle,0.0,0.0
548,Harper,LR,4.38,-7.72,79.81,76,83,11.97,broken clouds,0.0,0.0
549,Finschhafen,PG,-6.6,147.87,79.81,79,8,6.62,clear sky,0.0,0.0
550,Matagami,CA,49.75,-77.63,62.6,93,90,4.7,overcast clouds,0.0,0.0
551,Palu,ID,-0.89,119.87,78.1,81,85,0.72,light rain,0.16,0.0
552,Kampot,KH,10.62,104.18,86.0,66,20,3.36,few clouds,0.0,0.0
